date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2016-12-12,2258.83,2264.03,2252.37,2256.96,0,-2.57,-0.11%,2256.96,N/A,0
2016-12-09,2249.73,2259.80,2249.23,2259.53,0,13.34,0.59%,2259.53,N/A,0
2016-12-08,2241.13,2251.69,2237.57,2246.19,0,4.84,0.22%,2246.19,N/A,0
2016-12-07,2210.72,2241.63,2208.93,2241.35,0,29.12,1.32%,2241.35,N/A,0
2016-12-06,2207.26,2212.78,2202.21,2212.23,0,7.52,0.34%,2212.23,N/A,0
2016-12-05,2200.65,2209.42,2199.97,2204.71,0,12.76,0.58%,2204.71,N/A,0
2016-12-02,2191.12,2197.95,2188.37,2191.95,0,0.87,0.04%,2191.95,N/A,0
2016-12-01,2200.17,2202.60,2187.44,2191.08,0,-7.73,-0.35%,2191.08,N/A,0
2016-11-30,2204.97,2214.10,2198.81,2198.81,0,-5.85,-0.27%,2198.81,N/A,0
2016-11-29,2200.76,2210.46,2198.15,2204.66,0,2.94,0.13%,2204.66,N/A,0
2016-11-28,2210.21,2211.14,2200.36,2201.72,0,-11.63,-0.53%,2201.72,N/A,0
2016-11-25,2206.27,2213.35,2206.27,2213.35,0,8.63,0.39%,2213.35,N/A,0
2016-11-23,2198.55,2204.72,2194.51,2204.72,0,1.78,0.08%,2204.72,N/A,0
2016-11-22,2201.56,2204.80,2194.51,2202.94,0,4.76,0.22%,2202.94,N/A,0
2016-11-21,2186.43,2198.70,2186.43,2198.18,0,16.28,0.75%,2198.18,N/A,0
2016-11-18,2186.85,2189.89,2180.38,2181.90,0,-5.22,-0.24%,2181.90,N/A,0
2016-11-17,2178.61,2188.06,2176.65,2187.12,0,10.18,0.47%,2187.12,N/A,0
2016-11-16,2177.53,2179.22,2172.20,2176.94,0,-3.45,-0.16%,2176.94,N/A,0
2016-11-15,2168.29,2180.84,2166.38,2180.39,0,16.19,0.75%,2180.39,N/A,0
2016-11-14,2165.64,2171.36,2156.08,2164.20,0,-0.25,-0.01%,2164.20,N/A,0
2016-11-11,2162.71,2165.92,2152.49,2164.45,0,-3.03,-0.14%,2164.45,N/A,0
2016-11-10,2167.49,2182.30,2151.17,2167.48,0,4.22,0.20%,2167.48,N/A,0
2016-11-09,2131.56,2170.10,2125.35,2163.26,0,23.70,1.11%,2163.26,N/A,0
2016-11-08,2129.92,2146.87,2123.56,2139.56,0,8.04,0.38%,2139.56,N/A,0
2016-11-07,2100.59,2132.00,2100.59,2131.52,0,46.34,2.22%,2131.52,N/A,0
2016-11-04,2083.79,2099.07,2083.79,2085.18,0,-3.48,-0.17%,2085.18,N/A,0
2016-11-03,2098.80,2102.56,2085.23,2088.66,0,-9.28,-0.44%,2088.66,N/A,0
2016-11-02,2109.43,2111.76,2094.00,2097.94,0,-13.78,-0.65%,2097.94,N/A,0
2016-11-01,2128.68,2131.45,2097.85,2111.72,0,-14.43,-0.68%,2111.72,N/A,0
2016-10-31,2129.78,2133.25,2125.53,2126.15,0,-0.26,-0.01%,2126.15,N/A,0
2016-10-28,2132.23,2140.72,2119.36,2126.41,0,-6.63,-0.31%,2126.41,N/A,0
2016-10-27,2144.06,2147.13,2132.52,2133.04,0,-6.39,-0.30%,2133.04,N/A,0
2016-10-26,2136.97,2145.73,2131.59,2139.43,0,-3.73,-0.17%,2139.43,N/A,0
2016-10-25,2149.72,2151.44,2141.93,2143.16,0,-8.17,-0.38%,2143.16,N/A,0
2016-10-24,2148.50,2154.79,2146.91,2151.33,0,10.17,0.47%,2151.33,N/A,0
2016-10-21,2139.43,2142.63,2130.09,2141.16,0,-0.18,-0.01%,2141.16,N/A,0
2016-10-20,2142.51,2147.18,2133.44,2141.34,0,-2.95,-0.14%,2141.34,N/A,0
2016-10-19,2140.81,2148.44,2138.15,2144.29,0,4.69,0.22%,2144.29,N/A,0
2016-10-18,2138.31,2144.38,2135.49,2139.60,0,13.10,0.62%,2139.60,N/A,0
2016-10-17,2132.95,2135.61,2124.43,2126.50,0,-6.48,-0.30%,2126.50,N/A,0
2016-10-14,2139.68,2149.19,2132.98,2132.98,0,0.43,0.02%,2132.98,N/A,0
2016-10-13,2130.26,2138.19,2114.72,2132.55,0,-6.63,-0.31%,2132.55,N/A,0
2016-10-12,2137.67,2145.36,2132.77,2139.18,0,2.45,0.11%,2139.18,N/A,0
2016-10-11,2161.35,2161.56,2128.84,2136.73,0,-26.93,-1.24%,2136.73,N/A,0
2016-10-10,2160.39,2169.60,2160.39,2163.66,0,9.92,0.46%,2163.66,N/A,0
2016-10-07,2164.19,2165.86,2144.85,2153.74,0,-7.03,-0.33%,2153.74,N/A,0
2016-10-06,2158.22,2162.93,2150.28,2160.77,0,1.04,0.05%,2160.77,N/A,0
2016-10-05,2155.15,2163.95,2155.15,2159.73,0,9.24,0.43%,2159.73,N/A,0
2016-10-04,2163.37,2165.46,2144.01,2150.49,0,-10.71,-0.50%,2150.49,N/A,0
2016-10-03,2164.33,2164.41,2154.77,2161.20,0,-7.07,-0.33%,2161.20,N/A,0
2016-09-30,2156.51,2175.30,2156.51,2168.27,0,17.14,0.80%,2168.27,N/A,0
2016-09-29,2168.90,2172.67,2145.20,2151.13,0,-20.24,-0.93%,2151.13,N/A,0
2016-09-28,2161.85,2172.40,2151.79,2171.37,0,11.44,0.53%,2171.37,N/A,0
2016-09-27,2146.04,2161.13,2141.55,2159.93,0,13.83,0.64%,2159.93,N/A,0
2016-09-26,2158.54,2158.54,2145.04,2146.10,0,-18.59,-0.86%,2146.10,N/A,0
2016-09-23,2173.29,2173.75,2163.97,2164.69,0,-12.49,-0.57%,2164.69,N/A,0
2016-09-22,2170.94,2179.99,2170.94,2177.18,0,14.06,0.65%,2177.18,N/A,0
2016-09-21,2144.58,2165.11,2139.57,2163.12,0,23.36,1.09%,2163.12,N/A,0
2016-09-20,2145.94,2150.80,2139.17,2139.76,0,0.64,0.03%,2139.76,N/A,0
2016-09-19,2143.99,2153.61,2135.91,2139.12,0,-0.04,-0.00%,2139.12,N/A,0
2016-09-16,2146.48,2146.48,2131.20,2139.16,0,-8.10,-0.38%,2139.16,N/A,0
2016-09-15,2125.36,2151.31,2122.36,2147.26,0,21.49,1.01%,2147.26,N/A,0
2016-09-14,2127.86,2141.33,2119.90,2125.77,0,-1.25,-0.06%,2125.77,N/A,0
2016-09-13,2150.47,2150.47,2120.27,2127.02,0,-32.02,-1.48%,2127.02,N/A,0
2016-09-12,2120.86,2163.30,2119.12,2159.04,0,31.23,1.47%,2159.04,N/A,0
2016-09-09,2169.08,2169.08,2127.81,2127.81,0,-53.49,-2.45%,2127.81,N/A,0
2016-09-08,2182.76,2184.94,2177.49,2181.30,0,-4.86,-0.22%,2181.30,N/A,0
2016-09-07,2185.17,2187.87,2179.07,2186.16,0,-0.32,-0.01%,2186.16,N/A,0
